microRNA ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC06	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-143-3p	13,13355823	17,59079232	16,7616349	16,96244871	17,71094523	17,29691452	13,65045966	15,26734312	17,69659489	17,96129383	17,43322828	17,84360704	19,1515844	17,23409369	17,26584962	17,93472888	18,67547574	19,04687198	15,07693177	19,01648367	17,06304229	18,11019346	20,31053564	18,38252353
miR-22-3p	13,12949961	12,84079731	12,83922589	11,87369363	13,92218686	13,89748473	13,60148929	14,88060865	13,24765453	14,03842075	13,82913052	14,47823844	14,11178965	14,04061195	13,8845159	13,715638	14,15165455	13,85378174	14,54103322	14,33740789	14,01128167	13,53050638	14,90579235	13,15782499
miR-125a-5p	12,32434605	13,26399385	13,66936404	13,23715123	13,99795029	13,60031116	12,34933409	12,30572984	14,15850163	14,25405939	14,41397859	13,5911443	14,9184871	13,57809759	13,77653904	13,97304432	15,03887307	14,88943216	13,6773029	15,37639757	14,11486039	13,90778702	15,08131322	13,83422574
miR-320a-3p	11,65859772	10,38279792	10,69883376	8,337324966	10,02708988	11,9128694	11,20459985	12,10149684	9,83181272	10,27895424	11,41050845	11,16007307	10,18484213	11,12897268	10,73859767	10,39379533	10,10035824	11,02008621	12,6305347	10,61778006	11,91846905	10,2983632	10,126949	9,869825121
miR-12136-3p	11,20081026	9,196837665	8,768749682	8,421834753	8,332246921	9,747528279	12,0995608	11,11750413	9,311643319	9,708729982	11,10126033	8,741640335	10,59622363	8,942713374	8,557403781	8,773534308	10,24771439	8,582633392	10,506957	9,892922149	9,047907622	9,770877531	11,56534824	8,638064724
miR-125b-2-5p	10,97680317	12,18973757	12,12575381	11,27441242	12,58022585	12,40024894	11,00750757	10,80905241	13,20325579	12,71889025	12,89760706	12,17333805	13,76239753	12,33235407	12,23124757	12,84246022	13,99334111	13,12159027	11,99539461	13,72760404	12,75980581	12,51883335	13,94751555	12,36245582
miR-3907-3p	10,84710165	7,917353198	7,084372844	7,807642847	7,067023651	10,41523487	12,32633477	10,6350506	7,161413306	8,192663916	10,7515718	7,49475373	7,089138668	10,01512415	9,893509554	8,196300996	7,442263874	8,059927083	11,15685306	7,497246417	9,229405022	7,531682402	8,454081656	10,09032845
miR-12136-5p	10,66433879	10,95871092	9,650288943	8,887010721	9,820489325	10,32308746	10,34601935	10,83327494	9,456294305	10,40130689	10,28627997	9,260556436	11,05011277	8,853953932	8,127771803	9,270998076	10,98969556	8,163496674	8,438154942	9,522934936	8,380975247	10,91113612	11,34032386	9,516753727
miR-99a-5p	10,6313198	13,72224898	12,94126908	12,19306719	12,07350828	13,29868496	11,10069853	10,72228585	14,80173158	13,70080936	13,78588983	14,00146922	14,60537397	13,09225037	13,26408513	14,54004682	14,84960402	14,24919052	12,33258546	14,60607638	13,47547519	13,31786759	15,18248164	12,80902947
miR-30a-5p	10,60179496	16,53623874	16,19271036	15,41196665	15,1937001	14,65011608	11,6573434	14,65566094	16,61900687	16,74950323	15,49321047	16,7759521	17,92357513	14,95318869	15,92762609	17,64020842	16,77518583	17,06320952	13,00841254	17,15260025	15,30017005	16,34375525	18,70865228	16,08182282
