contig	ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC6	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-143-3p	miR-143-3p	7831	438168	142742	209438	497014	843761	156276	12075	49336	503985	454868	221563	497605	1517105	336035	243632	621569	1099429	1227079	46372	1346310	173675	509943	3503094
miR-22-3p	miR-22-3p	7809	16283	9414	6154	35961	22564	14810	11672	37735	23075	29990	18220	48284	46119	36732	23380	33374	47792	33542	31984	52553	20944	21325	82691
miR-125a-5p	miR-125a-5p	4469	21834	16737	15835	37900	36061	12053	4900	6333	43385	34825	27328	26107	80672	26657	21694	39893	88397	68763	17576	107986	22503	27699	93389
miR-320a-3p	miR-320a-3p	2817	2963	2135	530	2416.5	2309.5	3742	2216	5497	2161.5	2214	3407.5	4840.5	3031.5	4881	2641	3337	2882	4704.5	8507.5	3988.5	4909.5	2269	3011.5
miR-12136-3p	miR-12136-3p	2051	1302	560	562	746	983	834	4121	2779	1507	1491	2750	905	4032	1072	582	1085	3192	868	1952	2413	671	1574	8163
miR-125b-2-5p	miR-125b-2-5p	1756	10369	5741	4062	14185.66667	13001	5246	1933	2244	22375.66667	12015.66667	9552.666667	9771	36199.33333	11240.66667	7432.666667	18220	42825	20191.66667	5477.666667	34437	8796.666667	10576.33333	42558.33333
miR-3907-3p	miR-3907-3p	1605	536	174	367	310	2691	1325	4822.5	1989	339	521	2158	381	354	2255	1470	727	456	604	3063	458	761	333	944
miR-12136-5p	miR-12136-5p	1414	4417	1032	776	2094	1808	1243	1222	2282	1666	2410	1563	1297	5523	1008	432	1532	5339	649	465	1867	422.5	3470	6984
miR-99a-5p	miR-99a-5p	1382	29997.5	10104	7679	9984	17718	9779	2062	2113	67760	23732.5	17682	34696	64933	19035	15208	59099.5	77528.5	44118.5	6920	63310.5	14446.5	18402.5	100173
miR-30a-5p	miR-30a-5p	1354	210954	96225	71501	86816	171253	24953	3033	32287	238798	196381	57742	237404	647661	69145	96358	506792	294525	310263	11055	369879	51175	149889	1154082
miR-100-5p	miR-100-5p	1330	18170	12498	4313	19472	25187	4936	1565	2303	10189	12433	5589	13957	33736	12501	8779	19854	35086	29838	3563	28506	17089	12100	59875
miR-320b-1-3p	miR-320b-1-3p	1315.75	1453	1098.416667	187	1135	1041	1937.666667	1033.666667	2723.766667	1013.666667	1024.333333	1436.666667	2513.333333	1440.333333	2269.75	1213	1570.666667	1374	2155.333333	4319	1967.333333	2566.2	1080.666667	1349
miR-369-3p	miR-369-3p	1148	12785	8052	4670	16796	8978	6288	1718	3339	10408	7236	3630	4262	5868	4299	2341	4404	10101	6201	1007	3501	2427	9081	6934
miR-7853-3p	miR-7853-3p	1138	873	369	167	352	551	1060	1403	972	424	556	647	344	303	323	188	350	1030	171	463	298	206	555	553
miR-10b-5p	miR-10b-5p	1098	73672.5	32759.5	30167	47329	80960.5	9689.5	2075	5090.5	51134	44995	28724.5	55991	210510	38555.5	29163.5	90670.5	131742.5	95021	5037	119119	14411	38758.5	313321
miR-10a-5p	miR-10a-5p	1090	14141	14036.5	14167	22051	20656.5	4587.5	1218	2480.5	50395	29008.5	11935.5	19900	142441	7946.5	8926.5	28112	65362.5	23426.5	3550	51077.5	5778.5	18360	181459
miR-423-3p	miR-423-3p	997	7110	4339	3461	7120	7878	3466	667	3152	9936	7826	3870	10913	10824	5897	5393	13277	11410	11750	2123	16329	5444	4293	16672
miR-6765-3p	miR-6765-3p	961	1966	1100	1647	1538	3054	1652	1986	3021	1970	1733	1787	1507	1051	3185	1635	2671	1850	2693	1835	2539	1926	1818	1971
miR-6131-3p	miR-6131-3p	940	927	560	444	915	1280	1216	1410	1282	572	713	681	378	712	772	260	550	699	469	703	360	429	782	503
let-7b-5p	let-7b-5p	901	17701.4	13172.35	6098.25	22109.71667	23689.56667	5302.7	942.05	7766.1	35907.13333	20850.56667	8894.966667	24553.11667	46585.55	16738.7	12445.6	20833.43333	38014.55	34755.21667	4200.05	47798.93333	11013.85	18578.4	40970.58333
miR-30e-5p	miR-30e-5p	873	32222	15362	12534	22107	33558	4859	749	4387	60445	26627	10346	48003	63202	19912	22473	72002	54678	46906	1790	51960	12842	24861	149748
miR-1268a-5p	miR-1268a-5p	825	607	317	262	603	222	755	911	1025	314	382	376	255	595	318	143	131	532	171	453	299	197	493	325
miR-378a-3p	miR-378a-3p	778.5	4272.266667	1399.333333	508.5	2361.5	1478.266667	2488.133333	822.1666667	2235.566667	3806.333333	4006	1690.5	5817.5	2930.333333	2376.866667	3333.533333	6920.283333	5221.8	5505.866667	1570.666667	8665.6	2711.233333	2754.966667	10083.53333
miR-125b-5p	miR-125b-5p	656	7942	4402	2466	10901	7607	3225	942	1480	15887	9200	5695	7876	26927	7562	5752	13066	33307	16199	4037	27226	6943	7456	34020
miR-30d-5p	miR-30d-5p	636	39206	24101	19899	30675	49323	6885	1192	4544	82948	45405	12049	65304	141965	18847	19845	82497	73091	61090	3651	83695	15866	29443	254248
miR-4468-5p	miR-4468-5p	613	223	136	68	178	178	299	650	276	163	102	170	64	134	198	33	88	220	81	227	79	77	235	90
miR-186-5p	miR-186-5p	613	6238	3083	2920	6088	7170	1810	847	913	10473	5639	2820	15323	11123	6322	5984	15348	12833	10898	1440	12090	4652	4762	19129
miR-145-3p	miR-145-3p	586	4965	2063	1672	5283	8576	3837	594	1078	5385	5758	4714	7151	10792	5138	3756	7208	15127	17091	2179	18760	4696	6253	22729
miR-146a-5p	miR-146a-5p	551	8120	5141	1186	8772.5	3026	2703.5	891	2533	8497	4122	3041.5	8991	8401.5	3930.5	4919.5	18263.5	32449	12271	1809	18291.5	7767	6814.5	18030
miR-127-3p	miR-127-3p	519	359	141	220	1089	325	846	536	677	386	813	621	589	1236	812	341	553	2016	1195	2051	1232	930	857	1746
let-7i-5p	let-7i-5p	513	25713.45714	16103.5	10656.8	44282.5	39069.88571	4645.485714	502.2142857	6648.6	49178	29048.08571	8569.585714	53292.32857	74049.4	33521.84286	19820	56819	52745	44077	2912.5	48621.7	9842.5	20768.64286	83133.5
miR-711-5p	miR-711-5p	501	3395	1855	3829	4265	4520	1236	440	737	4613	3733	1110	2653	2520	1592	1699	3367	3117	2912	874	4018	1863	2057	3110
miR-760-5p	miR-760-5p	491	15493	11396	4447	17185	69120	3328	558	4578	9059	10449	3063	7344	16941	5183	6408	11917	7828	6001	360	5473	2261	6818	11498
miR-21-5p	miR-21-5p	489	307065	192273	219209	1510415	1841086	19608	2649	22495	988056	891885	39051	1048837	1194013	264693	259359	956293	662937	782493	7058	509300	102246	291977	742449
miR-106b-5p	miR-106b-5p	484	2822	1968	1726	3968	4054	477	520	534	7178	2244	655	2832.333333	6614	5378	1834	5648	2891	4917	343	2947	877	2195.333333	5995
miR-193a-5p	miR-193a-5p	457	616	450	83	565	678	561	277	612	367	577	588	1524	656	889	580	1005	681	1061	885	1031	1346	408	569
miR-12136	miR-12136	431	913	216	116	424	453	357	580	496	305	446	691	270	1677	335	206	309	1183	185	221	481	98	895	1545
miR-378d-1-5p	miR-378d-1-5p	425	87	36	19	24	38	133	287	165	48	98	206	40	23	88	19	68	100	16	126	53	32	99	60
miR-204-5p	miR-204-5p	418	10764	6613	7315	442	598	1055	330	1305	45266	6235	2176	1987	16874	687	3245	8421	18723	14407	559	28010	2675	8045	39524
miR-320c-1-3p	miR-320c-1-3p	417	612	387.0833333	65	548.1666667	583.1333333	636.1	797.25	988.9333333	457.25	604.1666667	688.35	737.3333333	397.5	773.6666667	453.2166667	736.5	556.2666667	810.3333333	1558.825	691	783.15	346.7333333	380.6083333
miR-4443-5p	miR-4443-5p	400	195	141	61	165	180	393	412	589	266	382	213	636	170	777	124	519	335	337.5	1943	515	845	182	242
miR-563-3p	miR-563-3p	394	701	296	170	398	265	704	368	514	758	389	397	537	59	592	345	897	261	557	657	529	300	252	129
miR-328-3p	miR-328-3p	374	767	445	319	544	391	719	622	489	1000	787	844	1454	681	1166	670	1324	1726	701	1156	1466	1379	391	955
miR-7975-3p	miR-7975-3p	371	10662	8188	10139	14093	21505	2551	546	4168	18979	16667	4695	8428	7062	8125.5	7010	17864	12528	17689	577	17643	8715.5	12815	11259
miR-8069-2-3p	miR-8069-2-3p	359	157	127	153	218	256	276	471	239	273	294	176	200	321	360	121	289	260	256	418	316	385	171	417
miR-615-3p	miR-615-3p	344	716	745	239	497	667	634	391	464	1274	774	752	1073	1282	669	975	1138	1730	938	1244	1868	708	630	1536
miR-1307-5p	miR-1307-5p	335	410	249	198	235	330	395	196	716	825	378	376	987	240	288	262	775	499	283	744	855	318	445	739
miR-181a-2-5p	miR-181a-2-5p	329	10896	7165	5233	14057	14171	1953	193	1720	22601	11344	2925	19027	20960	7631	6651	30033	15900	25015	797	21309	6692	7212	29008
miR-1246-5p	miR-1246-5p	316	394	218.5	224.5	299.5	438.3333333	190	143	341.5	284.5	197	183.5	211.5	150	226	165	256.5	268.5	158.5	220	235	132.5	270.5	99.5
miR-769-5p	miR-769-5p	311	483	315	141	346	380	480	221	552	600	409	454	1011	504	530	430	853	724	725	728	925	784	426	663
miR-1181-5p	miR-1181-5p	307	883	932	1040	1479	2540	701	298	1032	1863	1857	733	954	1742	1133	719	1595	1769	1997	420	2825	1366	1283	2041
miR-5100-3p	miR-5100-3p	302	3458	4315	5024	7516	21388	786	525	1117	10105	8417	1568	3788	8349	4068	4789	6234	5353	7527	286	8945	1693	4113	9757
miR-663a-3p	miR-663a-3p	299	140	115	130	212	175	213	314	238	115	123	98	91	134	154	48	74	122	54	149	66	113	113	83
miR-3195-5p	miR-3195-5p	297	129	92	67	349	185	207	243	213	70	67	200	111	215	351	50	130	150	80	108	164	98	166	137
miR-8082-3p	miR-8082-3p	292	57	48	33	60	31	74	242	63	18	21	30	16	19	18	9	8	20	17	59	4	22	32	11
miR-126-3p	miR-126-3p	291	59064	27955	33357	74795	118997	10027	461	3215	104544	53655	18179	62977	128140	54069	41787	153810	93009	173295	2084	142376	14053	52892	186390
miR-151a-3p	miR-151a-3p	284	5633	3205	2893	5156	7590	2232	410	1757	10209	6057	2487	12224	9295	4232	3676	11496	7969	10788	1175	11305	3200	4780	14704
miR-622-3p	miR-622-3p	282	2675	1214	876	2125	1688	1703	208	878	4696	2897	1293	4383	913	2742	1349	4830	3027	3691	742	3845	2108	1989	2110
miR-5088-3p	miR-5088-3p	275	117	136	109	173	140	210	310	195	176	166	106	87	116	145	47	114	248	159	251	214	175	109	205
miR-221-3p	miR-221-3p	272	4281	1353	1764	8365	6521	917	390	3956	7822	9658	2077	10234	11631	5129	3509	7020	14559	9132	1009	8753	2161	4733	31519
miR-4497-5p	miR-4497-5p	265	171	200	144	367	262	186	212	302	124	128	142	94	318	259	57	95	130	96	167	142	140	168	133
miR-23a-3p	miR-23a-3p	264	19628.5	11506	8895.5	48002.5	59522.5	1634	202	1477	46705.5	27021.5	2983.5	24200	84438.5	8220	12283.5	36112	38415	51721	688.5	38185.5	4781	17413.5	94865.5
miR-3142-5p	miR-3142-5p	243	179	117	58	281	237	382	274	190	282	142	233	314	72	447	174	527	137	270	374	411	233	189	69
miR-30c-2-3p	miR-30c-2-3p	235	1029	568	185	304	450	678	164	651	1082	909	798	1392	2187	692	597	1659	1928	1809	896	2553	674	850	3225
miR-451a-5p	miR-451a-5p	234	13178	13746	32125	226841	20109	15786	362	18891	135781	21688	8009	5649	330475	527184	90419.5	57104	66110.5	115591	9470	92594	39487	94700	124682
miR-320a-5p	miR-320a-5p	217	126	105	113	251	87	175	151	84	111	105	65	35	141	67	33	37	113	63	54	74	42	132	41
miR-4277-3p	miR-4277-3p	204	199	141	73	166	337	184	400	510	132	107	156	153	78	302	174	190	150	121	204	107	161	175	88
miR-6817-3p	miR-6817-3p	202	844	452	394	643	561	385	341	1019	1558	910	1055	849	639	382	500	1410	1200	410	395	1580	571	1344	2483
miR-6075-3p	miR-6075-3p	195	86	55	75	189	159	93	189	167	157	95	96	43	200	151	75	72	199	54	99	109	86	136	123
miR-4633-5p	miR-4633-5p	194	4056	3507	956	3345	23326	869	154	836	2145	2597	1262	3195	2651	1945	3738	4899	1574	1638	82	1734	880	1071	2428
miR-4488-5p	miR-4488-5p	193	54	43	29	51	260	75	244	176	66	27	224	65	71	234	93	44	23	32	132	51	82	45	38
miR-99b-5p	miR-99b-5p	192	6516	4560	4118	9322	13342	1119	163	1133	10736	7625	2302	6884	20321	3989	3606	12249	12422.5	13117	496	12039	1843	4730	29232
miR-4501-5p	miR-4501-5p	191	3828	1079	245	1567	1757	1286	193	902	1667	1572	795	1940	405	727	363	2331	1834	461	162	853	322	1692	1120
miR-145-5p	miR-145-5p	189	10624	3415	10495	14084	20290	1242	220	516	17092.5	14269.5	2337	8311	45069	4796	4370	14667.5	30006	32487	508	29976.5	1856	11240	90978
miR-10400-3p	miR-10400-3p	187	174	61	70	97	1498	457	3708	705	90	146	1060	209	161	1713	1041	265	256	160	838	214	384	52	223
miR-6804-5p	miR-6804-5p	187	40	11	5	13	18	20	50	8	6	4	21	2	11	10	3	3	7	1	8	16	3	28	13
miR-874-3p	miR-874-3p	185	141	44	29	293	167	243	175	409	111	225	261	291	292	506	174	180	871	331	506.5	389	181	178	448
miR-27b-3p	miR-27b-3p	184	50002.83333	28617.5	19828.33333	45842.83333	80008.5	2464.666667	210	2231	196121.3333	40552	6659.666667	35304.5	139860.3333	14447.16667	27076.5	94086.66667	70566.5	89709.66667	734.5	85305.5	8803.666667	37966.5	243943
miR-320d-1-3p	miR-320d-1-3p	181.3333333	203.6	151.9	64.33333333	159.3333333	232.4333333	272.6666667	267.6	243.6666667	163.6	154.0333333	171.3333333	235.3333333	138	241.7666667	140.6666667	230	201	219	464	200.4	264.8666667	131.9666667	121.8
miR-1224-5p	miR-1224-5p	177	78	41	35	67	114	97	139	171	42	37	94	21	81	46	47	21	111	10	106	71	54	64	162
miR-1180-3p	miR-1180-3p	176	136	160	137	143	193	151	147	161	351	312	221	353	305	414	228	302	300	271	293	450	309	143	467
miR-501-5p	miR-501-5p	164	134	34	15	70	36	202	101	237	135	71	198	106	143	120	68	242	262	128	390	293	174	76	329
miR-26a-5p	miR-26a-5p	164	68238	35198	35072	107115	99191	3053	224	2591	159882	64180	9449	63948	345089	22875	27444	134711	141621	125976	925	119994	9821	49620	526990
miR-6883-5p	miR-6883-5p	163	40	36	46	42	44	57	111	58	29	16	34	6	44	39	13	26	36	1	28	16	15	73	42
miR-24-1-3p	miR-24-1-3p	163	15847.5	7299	10952.5	26142.5	33321.16667	1967.5	173	1259	37905.66667	17586	3390.5	15240.5	47630	8678	9709	30313.5	25669	29598	425	28973.5	3305	13331.5	62606.5
miR-29a-3p	miR-29a-3p	161	30711.33333	12296	19181.5	32412.5	39766.16667	2296	302	3175.5	40313.5	24382.83333	5567.333333	32513.5	71176.5	13537	15642.66667	67520	60469.5	33799.83333	863	35304	6472	18428.5	112289.1667
miR-7704-5p	miR-7704-5p	158	115	106	148	142	177	129	174	199	131	91	109	141	162	129	59	112	153	137	159	150	188	67	110
miR-718-3p	miR-718-3p	157	1199	1285	1523	1829	2899	458	209	578	2259	2086	750	898	1834	1542	711	1785	1745	2477	223	2631	1130	1502	1980
miR-7846-3p	miR-7846-3p	156	133	60	34	103	79	123	183	152	59	45	62	51	134	95	14	62	84	27	48	24	29	69	61
miR-12135-3p	miR-12135-3p	156	799	434	106	541	215	135	49	2008	3065	2278	215	2283.5	1245	105	661	2197	3834.5	554	626	3704	539	1463	8315
miR-4755-3p	miR-4755-3p	153	86	101	7	80	63	94	207	84	33	34	69	30	67	61	11	36	34	30	65	19	26	47	42
miR-409-3p	miR-409-3p	153	77	36	78	586	176	131	63	135	149	326	138	162	520	216	220	183	457	414	652	529	279	152	567
miR-6793-5p	miR-6793-5p	153	87	44	7	80	11	85	43	65	22	24	8	9	80	11	5	5	78	16	53	16	20	44	38
miR-146b-5p	miR-146b-5p	151	3301	3571	2582	17741.5	4052	2656.5	942	728	4025	20741	1586.5	28871	12257.5	5984.5	4531.5	12605.5	14779	13453	1702	7148.5	4493	3008.5	10663
